,link,text,date,No_of_Likes,No_of_tweets
136,https://twitter.com/BBCNews/status/1819502276131623097#m,"Officers ""subjected to serious violence"" and police office attacked in Sunderland protests linked to Southport killings https://bbc.in/3yfxSTU","Aug 2, 2024 · 10:35 PM UTC",71,0
137,https://twitter.com/BBCNews/status/1819494193573626156#m,CalMac Islay ferry to be retired and scrapped after 38 years https://bbc.in/3A3eLwE,"Aug 2, 2024 · 10:03 PM UTC",42,23
138,https://twitter.com/BBCNews/status/1819489660264993022#m,Marchand wins fourth gold as GB's Scott & Proud claim silver https://bbc.in/4ftAyOo,"Aug 2, 2024 · 9:45 PM UTC",217,12
139,https://twitter.com/BBCNews/status/1819489280495878236#m,Man due in court after Dublin State buildings rammed https://bbc.in/3YxkNjk,"Aug 2, 2024 · 9:43 PM UTC",27,9
140,https://twitter.com/BBCNews/status/1819487401925865901#m,"Marchand & Macron grab attention, but Scott makes own mark https://bbc.in/3SB93IL","Aug 2, 2024 · 9:36 PM UTC",61,11
141,https://twitter.com/BBCNews/status/1819486428419535020#m,McClenaghan goes for gold - What is happening on day eight? https://bbc.in/3WN5npP,"Aug 2, 2024 · 9:32 PM UTC",48,16
142,https://twitter.com/BBCNews/status/1819471563177054486#m,Performers take to streets as power cuts hit Edinburgh Fringe https://bbc.in/3A34jVW,"Aug 2, 2024 · 8:33 PM UTC",53,18
143,https://twitter.com/BBCNews/status/1819457394922889344#m,NHS trust stops taking ADHD referrals over backlog https://bbc.in/3AhUXWo,"Aug 2, 2024 · 7:37 PM UTC",72,50
144,https://twitter.com/BBCNews/status/1819453254905762062#m,TikTok sued for 'massive' invasion of child privacy https://bbc.in/4dtTURy,"Aug 2, 2024 · 7:20 PM UTC",91,28
145,https://twitter.com/BBCNews/status/1819431279474983098#m,Thomas Becket trial castle stone found in car park https://bbc.in/4d58Ju1,"Aug 2, 2024 · 5:53 PM UTC",67,33
146,https://twitter.com/BBCNews/status/1819418272799846627#m,Debt-hit East Kent NHS trust shows progress https://bbc.in/3yehWkN,"Aug 2, 2024 · 5:01 PM UTC",20,25
147,https://twitter.com/BBCNews/status/1819414296540872918#m,Why is a flower that smells like rotting flesh so popular? https://bbc.in/3SzEVh1,"Aug 2, 2024 · 4:45 PM UTC",77,36
148,https://twitter.com/BBCNews/status/1819401297637883944#m,Walsh unsure of future after Olympic exit in Paris https://bbc.in/4doSFmL,"Aug 2, 2024 · 3:54 PM UTC",29,17
